,utterance,utterance_tokenized
39461,Why are you laughing?,"['Why', 'are', 'you', 'laughing', '?']"
52353,What happened? What happened?,"['What', 'happened', '?', 'What', 'happened', '?']"
13549,That’s not true! I wanted to wear my bathrobe and eat peanut clusters all day. I wanted to start drinking in the morning. Don’t say that I don’t have goals!,"['That', '’', 's', 'not', 'true', '!', 'I', 'wanted', 'to', 'wear', 'my', 'bathrobe', 'and', 'eat', 'peanut', 'clusters', 'all', 'day', '.', 'I', 'wanted', 'to', 'start', 'drinking', 'in', 'the', 'morning', '.', 'Don', '’', 't', 'say', 'that', 'I', 'don', '’', 't', 'have', 'goals', '!']"
38655,Hey!,"['Hey', '!']"
32617,Fascinating.,"['Fascinating', '.']"
42886,"Yeah, for about 30 minutes.","['Yeah', ',', 'for', 'about', '30', 'minutes', '.']"
14446,"No, look, I don’t know what else to do. I said I’m sorry!","['No', ',', 'look', ',', 'I', 'don', '’', 't', 'know', 'what', 'else', 'to', 'do', '.', 'I', 'said', 'I', '’', 'm', 'sorry', '!']"
25227,"But hey, in my defense I-I just found out condoms are like only 97% effective.","['But', 'hey', ',', 'in', 'my', 'defense', 'I-I', 'just', 'found', 'out', 'condoms', 'are', 'like', 'only', '97', '%', 'effective', '.']"
13363,Oh-ho!,"['Oh-ho', '!']"
7495,"No Mon that's not the point. I'm out a thousand dollars, I'm all scratched up, and I'm stuck with this stupid cat that looks like a hand!","['No', 'Mon', 'that', ""'s"", 'not', 'the', 'point', '.', 'I', ""'m"", 'out', 'a', 'thousand', 'dollars', ',', 'I', ""'m"", 'all', 'scratched', 'up', ',', 'and', 'I', ""'m"", 'stuck', 'with', 'this', 'stupid', 'cat', 'that', 'looks', 'like', 'a', 'hand', '!']"
25580,"Yeah, we named the boy Jack after dad.","['Yeah', ',', 'we', 'named', 'the', 'boy', 'Jack', 'after', 'dad', '.']"
24731,Hey!,"['Hey', '!']"
5546,"Man, we're gonna rock that Asian student union!","['Man', ',', 'we', ""'re"", 'gon', 'na', 'rock', 'that', 'Asian', 'student', 'union', '!']"
9756,"Yeah, and I don’t have any cologne.","['Yeah', ',', 'and', 'I', 'don', '’', 't', 'have', 'any', 'cologne', '.']"
11258,I wish I had smoked for my career…,"['I', 'wish', 'I', 'had', 'smoked', 'for', 'my', 'career…']"
19784,"It’s okay, he’s a virgin.","['It', '’', 's', 'okay', ',', 'he', '’', 's', 'a', 'virgin', '.']"
52732,Oh my God!,"['Oh', 'my', 'God', '!']"
20285,"Umm, well, he’s…","['Umm', ',', 'well', ',', 'he', '’', 's…']"
22469,Okay. I’m Chandler,"['Okay', '.', 'I', '’', 'm', 'Chandler']"
54868,"Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we...  y'know each would,  y'know  be?","['Ah', '!', '!', 'Okay', '!', 'Eyes', 'open', 'at', 'all', 'times', '!', 'Oh', ',', 'hey', ',', 'how', 'do', 'we', 'decide', 'where', 'we', '...', ""y'know"", 'each', 'would', ',', ""y'know"", 'be', '?']"
34587,"So umm, you’re gonna stay with me as long as I need you?","['So', 'umm', ',', 'you', '’', 're', 'gon', 'na', 'stay', 'with', 'me', 'as', 'long', 'as', 'I', 'need', 'you', '?']"
52235,"Okay, what is in here? Rocks?","['Okay', ',', 'what', 'is', 'in', 'here', '?', 'Rocks', '?']"
12621,I'm not sure about this.,"['I', ""'m"", 'not', 'sure', 'about', 'this', '.']"
22572,Oh really?,"['Oh', 'really', '?']"
36234,What?,"['What', '?']"
19119,What?! No! Why?!,"['What', '?', '!', 'No', '!', 'Why', '?', '!']"
20569,"There was a ring, in a box, on my nightstand, after you left, it was gone!","['There', 'was', 'a', 'ring', ',', 'in', 'a', 'box', ',', 'on', 'my', 'nightstand', ',', 'after', 'you', 'left', ',', 'it', 'was', 'gone', '!']"
14320,"We uh, we just cooked it up.","['We', 'uh', ',', 'we', 'just', 'cooked', 'it', 'up', '.']"
28922,Guess who we ran into today?!,"['Guess', 'who', 'we', 'ran', 'into', 'today', '?', '!']"
44626,Making chocolate milk. Do you want some?,"['Making', 'chocolate', 'milk', '.', 'Do', 'you', 'want', 'some', '?']"
15233,"Joey, you have got to take this back!","['Joey', ',', 'you', 'have', 'got', 'to', 'take', 'this', 'back', '!']"
8962,"OK, alright, last minute lesson, last minute lesson.  Joey... three... eight. Eight... three.  Alright babe, deal the cards.","['OK', ',', 'alright', ',', 'last', 'minute', 'lesson', ',', 'last', 'minute', 'lesson', '.', 'Joey', '...', 'three', '...', 'eight', '.', 'Eight', '...', 'three', '.', 'Alright', 'babe', ',', 'deal', 'the', 'cards', '.']"
15092,Sur-surprise.,"['Sur-surprise', '.']"
55018,"Oh, be home, be home, be home, be home, be home, be home. Be home. Be home, be home, be home. Oh, you’re not home.","['Oh', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', '.', 'Be', 'home', '.', 'Be', 'home', ',', 'be', 'home', ',', 'be', 'home', '.', 'Oh', ',', 'you', '’', 're', 'not', 'home', '.']"
2539,"Uh-huh, great story! I'm going!","['Uh-huh', ',', 'great', 'story', '!', 'I', ""'m"", 'going', '!']"
42574,Well it's not flexed right now!,"['Well', 'it', ""'s"", 'not', 'flexed', 'right', 'now', '!']"
37081,"Yeah, and you don’t mind if I call, because you only want good things for me.","['Yeah', ',', 'and', 'you', 'don', '’', 't', 'mind', 'if', 'I', 'call', ',', 'because', 'you', 'only', 'want', 'good', 'things', 'for', 'me', '.']"
48641,Because I cared enough to lie!,"['Because', 'I', 'cared', 'enough', 'to', 'lie', '!']"
4189,OH YES!!!!!,"['OH', 'YES', '!', '!', '!', '!', '!']"
32592,Well this doesn’t even smell like opium.,"['Well', 'this', 'doesn', '’', 't', 'even', 'smell', 'like', 'opium', '.']"
42117,Y’know what’s weird?,"['Y', '’', 'know', 'what', '’', 's', 'weird', '?']"
42210,Hey.,"['Hey', '.']"
11228,"Well, I've been thinking about this whole commercial thing, y'know me going up against Ben, the two of us competing, and that can't lead to anything good. So, I think I'm just gonna step aside. I'm gonna tell them that I won't audition.","['Well', ',', 'I', ""'ve"", 'been', 'thinking', 'about', 'this', 'whole', 'commercial', 'thing', ',', ""y'know"", 'me', 'going', 'up', 'against', 'Ben', ',', 'the', 'two', 'of', 'us', 'competing', ',', 'and', 'that', 'ca', ""n't"", 'lead', 'to', 'anything', 'good', '.', 'So', ',', 'I', 'think', 'I', ""'m"", 'just', 'gon', 'na', 'step', 'aside', '.', 'I', ""'m"", 'gon', 'na', 'tell', 'them', 'that', 'I', 'wo', ""n't"", 'audition', '.']"
9201,They're in a caaar...,"['They', ""'re"", 'in', 'a', 'caaar', '...']"
9660,RACHEL!,"['RACHEL', '!']"
21265,Yeah. What do you think.,"['Yeah', '.', 'What', 'do', 'you', 'think', '.']"
6,"No, and so there's no one to walk me down the aisle and... well, I would just really love it if you would do it.","['No', ',', 'and', 'so', 'there', ""'s"", 'no', 'one', 'to', 'walk', 'me', 'down', 'the', 'aisle', 'and', '...', 'well', ',', 'I', 'would', 'just', 'really', 'love', 'it', 'if', 'you', 'would', 'do', 'it', '.']"
2644,There's not gonna be a next time! You can not ever see him again!,"['There', ""'s"", 'not', 'gon', 'na', 'be', 'a', 'next', 'time', '!', 'You', 'can', 'not', 'ever', 'see', 'him', 'again', '!']"
45873,"Hey! Hey! Hey! Hey!! Hey!!!  Look what you’re doing to Chandler!!   Yeah, look, we know this is really, really hard for you guys. Okay?  You don’t, all right you don’t have to love each other, okay? You don’t, you don’t even have to like each other much right now. But please, you have to figure out a way to be around each other.","['Hey', '!', 'Hey', '!', 'Hey', '!', 'Hey', '!', '!', 'Hey', '!', '!', '!', 'Look', 'what', 'you', '’', 're', 'doing', 'to', 'Chandler', '!', '!', 'Yeah', ',', 'look', ',', 'we', 'know', 'this', 'is', 'really', ',', 'really', 'hard', 'for', 'you', 'guys', '.', 'Okay', '?', 'You', 'don', '’', 't', ',', 'all', 'right', 'you', 'don', '’', 't', 'have', 'to', 'love', 'each', 'other', ',', 'okay', '?', 'You', 'don', '’', 't', ',', 'you', 'don', '’', 't', 'even', 'have', 'to', 'like', 'each', 'other', 'much', 'right', 'now', '.', 'But', 'please', ',', 'you', 'have', 'to', 'figure', 'out', 'a', 'way', 'to', 'be', 'around', 'each', 'other', '.']"
32300,"Uh, morning. Do you guys think you could close your eyes for just a sec?","['Uh', ',', 'morning', '.', 'Do', 'you', 'guys', 'think', 'you', 'could', 'close', 'your', 'eyes', 'for', 'just', 'a', 'sec', '?']"
32156,"Oh, this one’s for me!","['Oh', ',', 'this', 'one', '’', 's', 'for', 'me', '!']"
