,utterance,utterance_tokenized,speaker
39461,Why are you laughing?,"['Why', 'are', 'you', 'laughing', '?']",Ross
52353,What happened? What happened?,"['What', 'happened', '?', 'What', 'happened', '?']",Joey
13549,That’s not true! I wanted to wear my bathrobe and eat peanut clusters all day. I wanted to start drinking in the morning. Don’t say that I don’t have goals!,"['That', '’', 's', 'not', 'true', '!', 'I', 'wanted', 'to', 'wear', 'my', 'bathrobe', 'and', 'eat', 'peanut', 'clusters', 'all', 'day', '.', 'I', 'wanted', 'to', 'start', 'drinking', 'in', 'the', 'morning', '.', 'Don', '’', 't', 'say', 'that', 'I', 'don', '’', 't', 'have', 'goals', '!']",Chandler
38655,Hey!,"['Hey', '!']",Monica
32617,Fascinating.,"['Fascinating', '.']",Ross
42886,"Yeah, for about 30 minutes.","['Yeah', ',', 'for', 'about', '30', 'minutes', '.']",Chandler
14446,"No, look, I don’t know what else to do. I said I’m sorry!","['No', ',', 'look', ',', 'I', 'don', '’', 't', 'know', 'what', 'else', 'to', 'do', '.', 'I', 'said', 'I', '’', 'm', 'sorry', '!']",Joey
25227,"But hey, in my defense I-I just found out condoms are like only 97% effective.","['But', 'hey', ',', 'in', 'my', 'defense', 'I-I', 'just', 'found', 'out', 'condoms', 'are', 'like', 'only', '97', '%', 'effective', '.']",Ross
13363,Oh-ho!,"['Oh-ho', '!']",Rachel
7495,"No Mon that's not the point. I'm out a thousand dollars, I'm all scratched up, and I'm stuck with this stupid cat that looks like a hand!","['No', 'Mon', 'that', ""'s"", 'not', 'the', 'point', '.', 'I', ""'m"", 'out', 'a', 'thousand', 'dollars', ',', 'I', ""'m"", 'all', 'scratched', 'up', ',', 'and', 'I', ""'m"", 'stuck', 'with', 'this', 'stupid', 'cat', 'that', 'looks', 'like', 'a', 'hand', '!']",Rachel
25580,"Yeah, we named the boy Jack after dad.","['Yeah', ',', 'we', 'named', 'the', 'boy', 'Jack', 'after', 'dad', '.']",Monica
24731,Hey!,"['Hey', '!']",Joey
5546,"Man, we're gonna rock that Asian student union!","['Man', ',', 'we', ""'re"", 'gon', 'na', 'rock', 'that', 'Asian', 'student', 'union', '!']",Chandler
9756,"Yeah, and I don’t have any cologne.","['Yeah', ',', 'and', 'I', 'don', '’', 't', 'have', 'any', 'cologne', '.']",Chandler
11258,I wish I had smoked for my career…,"['I', 'wish', 'I', 'had', 'smoked', 'for', 'my', 'career…']",Chandler
19784,"It’s okay, he’s a virgin.","['It', '’', 's', 'okay', ',', 'he', '’', 's', 'a', 'virgin', '.']",Phoebe
52732,Oh my God!,"['Oh', 'my', 'God', '!']",Chandler
20285,"Umm, well, he’s…","['Umm', ',', 'well', ',', 'he', '’', 's…']",Monica
22469,Okay. I’m Chandler,"['Okay', '.', 'I', '’', 'm', 'Chandler']",Joey
54868,"Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we...  y'know each would,  y'know  be?","['Ah', '!', '!', 'Okay', '!', 'Eyes', 'open', 'at', 'all', 'times', '!', 'Oh', ',', 'hey', ',', 'how', 'do', 'we', 'decide', 'where', 'we', '...', ""y'know"", 'each', 'would', ',', ""y'know"", 'be', '?']",Joey
34587,"So umm, you’re gonna stay with me as long as I need you?","['So', 'umm', ',', 'you', '’', 're', 'gon', 'na', 'stay', 'with', 'me', 'as', 'long', 'as', 'I', 'need', 'you', '?']",Rachel
52235,"Okay, what is in here? Rocks?","['Okay', ',', 'what', 'is', 'in', 'here', '?', 'Rocks', '?']",Chandler
12621,I'm not sure about this.,"['I', ""'m"", 'not', 'sure', 'about', 'this', '.']",Monica
22572,Oh really?,"['Oh', 'really', '?']",Phoebe
36234,What?,"['What', '?']",Monica
19119,What?! No! Why?!,"['What', '?', '!', 'No', '!', 'Why', '?', '!']",Rachel
20569,"There was a ring, in a box, on my nightstand, after you left, it was gone!","['There', 'was', 'a', 'ring', ',', 'in', 'a', 'box', ',', 'on', 'my', 'nightstand', ',', 'after', 'you', 'left', ',', 'it', 'was', 'gone', '!']",Joey
14320,"We uh, we just cooked it up.","['We', 'uh', ',', 'we', 'just', 'cooked', 'it', 'up', '.']",Ross
28922,Guess who we ran into today?!,"['Guess', 'who', 'we', 'ran', 'into', 'today', '?', '!']",Rachel
44626,Making chocolate milk. Do you want some?,"['Making', 'chocolate', 'milk', '.', 'Do', 'you', 'want', 'some', '?']",Chandler
15233,"Joey, you have got to take this back!","['Joey', ',', 'you', 'have', 'got', 'to', 'take', 'this', 'back', '!']",Rachel
8962,"OK, alright, last minute lesson, last minute lesson.  Joey... three... eight. Eight... three.  Alright babe, deal the cards.","['OK', ',', 'alright', ',', 'last', 'minute', 'lesson', ',', 'last', 'minute', 'lesson', '.', 'Joey', '...', 'three', '...', 'eight', '.', 'Eight', '...', 'three', '.', 'Alright', 'babe', ',', 'deal', 'the', 'cards', '.']",Chandler
15092,Sur-surprise.,"['Sur-surprise', '.']",Phoebe
55018,"Oh, be home, be home, be home, be home, be home, be home. Be home. Be home, be home, be home. Oh, you’re not home.","['Oh', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', ',', 'be', 'home', '.', 'Be', 'home', '.', 'Be', 'home', ',', 'be', 'home', ',', 'be', 'home', '.', 'Oh', ',', 'you', '’', 're', 'not', 'home', '.']",Rachel
2539,"Uh-huh, great story! I'm going!","['Uh-huh', ',', 'great', 'story', '!', 'I', ""'m"", 'going', '!']",Phoebe
42574,Well it's not flexed right now!,"['Well', 'it', ""'s"", 'not', 'flexed', 'right', 'now', '!']",Chandler
37081,"Yeah, and you don’t mind if I call, because you only want good things for me.","['Yeah', ',', 'and', 'you', 'don', '’', 't', 'mind', 'if', 'I', 'call', ',', 'because', 'you', 'only', 'want', 'good', 'things', 'for', 'me', '.']",Rachel
48641,Because I cared enough to lie!,"['Because', 'I', 'cared', 'enough', 'to', 'lie', '!']",Phoebe
4189,OH YES!!!!!,"['OH', 'YES', '!', '!', '!', '!', '!']",Joey
32592,Well this doesn’t even smell like opium.,"['Well', 'this', 'doesn', '’', 't', 'even', 'smell', 'like', 'opium', '.']",Phoebe
42117,Y’know what’s weird?,"['Y', '’', 'know', 'what', '’', 's', 'weird', '?']",Monica
42210,Hey.,"['Hey', '.']",Joey
11228,"Well, I've been thinking about this whole commercial thing, y'know me going up against Ben, the two of us competing, and that can't lead to anything good. So, I think I'm just gonna step aside. I'm gonna tell them that I won't audition.","['Well', ',', 'I', ""'ve"", 'been', 'thinking', 'about', 'this', 'whole', 'commercial', 'thing', ',', ""y'know"", 'me', 'going', 'up', 'against', 'Ben', ',', 'the', 'two', 'of', 'us', 'competing', ',', 'and', 'that', 'ca', ""n't"", 'lead', 'to', 'anything', 'good', '.', 'So', ',', 'I', 'think', 'I', ""'m"", 'just', 'gon', 'na', 'step', 'aside', '.', 'I', ""'m"", 'gon', 'na', 'tell', 'them', 'that', 'I', 'wo', ""n't"", 'audition', '.']",Joey
9201,They're in a caaar...,"['They', ""'re"", 'in', 'a', 'caaar', '...']",Rachel
9660,RACHEL!,"['RACHEL', '!']",Ross
21265,Yeah. What do you think.,"['Yeah', '.', 'What', 'do', 'you', 'think', '.']",Ross
