Monica,"Guys, hurry up! The flight leaves in four hours! It could take time to get a taxi! There could be traffic! The plane could leave early! When we get to London, there could be a line at customs! Come on!!"
Chandler,Six-hour trip to London. That’s a lot of Monica.
Monica,"Passport, check!  Camera, check! Traveller’s cheques, check!"
Rachel,"Who are you saying ""check"" too?"
Monica,"Myself. Y’know for remembering to pack a thing. Yeah, you do a good thing, you get a check!  My mom does it, I never realized it was weird."
Phoebe,"Yeah, my mom used to put her head in the oven. Well, actually, she only did it the one time. But it was pretty weird."
Ross,Hey!
Monica,Hey!
Ross,Hey! Are you ready yet?
Monica,Yep! You got the tickets?
Ross,"Oh! Got ‘em right here,  check!"
Joey,"It’s all London, baby! Here we go."
Chandler,You got your passport?
Joey,"Yeah, in my third drawer on my dresser. You don’t want to lose that."
Joey,Ohh!!
Chandler,There it is.
Monica,"Okay, if you need the vacuum, it’s in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator…"
Phoebe,"Okay, okay, but Rachel’s gonna be here too, can’t I just ask her this stuff?"
Monica,"Yeah, okay, give that a try!"
Chandler,All right! Let’s do it!
Joey,Woo-hoo!!
Ross,"Yeah, cheerie-o!"
Joey,London baby!
Chandler,"Okay, ‘cause that’s not gonna get annoying."
Joey,London baby!!
Chandler,"Hey, y’know what? I was wrong."
Ross,"Well, we’re all here! I guess we should get going!"
Phoebe,"Ohhh, I wanna come over there and give you a hug and wish you luck on your wedding, but I don’t—can’t get up."
Ross,"Oh, I’ll-I’ll come hug you."
Phoebe,"Great! Yeah, could you bring me the newspaper?"
Ross,Yeah.
Phoebe,"Oh, have a great wedding!"
Ross,Thanks.
Phoebe,"Oh, hey, Chandler I wanna hug you too!"
Chandler,Hey!
Phoebe,"Oh, and great! You might as well bring me my book, it’s on the counter in your apartment."
Chandler,Oh.
Ross,"So, we’re off."
Rachel,Have fun!
Ross,"Thanks!  Ugh, I can’t believe you’re not gonna be there!"
Rachel,"Oh, I know."
Ross,So-so come! Why don’t you come?
Rachel,What?!
Ross,To London! Come to London. Please? It’ll mean so much to me.
Rachel,"Yeah, well, I gotta work, I’m sorry."
Ross,Why-why can’t you take a couple of days off?
Rachel,"Because, I can’t! Ross, I told you, no. I can’t."
Ross,This is my wedding.
Monica,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!"
Ross,Fine. You’ll-you’ll watch it on video when we get back.
Chandler,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.
Phoebe,Thank you.
Phoebe,Thank you.
Ross,"All right, let’s go! Bye, Pheebs!"
Joey,"Bye, Pheebs!"
Joey,London baby!!
Phoebe,"Oh, do you need a hug? You don’t have to bring me anything!"
Joey,Come on! Do something!
Chandler,"I am, I’m ignoring you."
Joey,"Okay, here!  I wanna be the on camera guy. All right, first stop, Westminster Abbey."
Chandler,"Oh, what the hell is that?"
Joey,"It’s London, baby! All right, the hotel’s here.  Wait. No, we wanna go… No. I know.  I’m gonna have to go into the map."
Chandler,"Okay, if you see a little version of me in there? Kill it!"
Joey,I got it!  Here we go.
Chandler,"Okay. Listen-listen, we’re not gonna have to walk this way the entire time are we?"
Joey,"Shhh!  Man, you made me lose it!"
Emily,"…and that was all before 10 o’clock. The caterer rang and said it was going to be Chicken Kiev instead of Chicken Tarragon. And then the florist phoned to say there aren’t any tulips. Oh, and the chilliest has carpel-tunel syndrome. We’re not gonna be…"
Ross,"Whoa-whoa-whoa! Emily,  honey, okay?"
Emily,"Well, up yours too!"
Ross,What?! No! No! That’s-that’s time-out!
Emily,Sorry.
Ross,"Sweetie, you gotta relax. Everything’s gonna be great, okay? Come on. Come on."
Monica,Chicken Kiev?
Ross,Um-hmm! Doesn’t that sound delicious at the last minute?
Monica,"Yeah, y’know, but something like salmon which would be so much more elegant than the chicken. And, you wouldn’t have to worry about the salmonella.  So, I can’t wait to see this place you’re getting married!"
Ross,"Yeah. Yeah. Yes, this place is beautiful. Emily’s parents got married here."
Emily,I still can’t believe they’re tearing it down. It really is the most lovely building you’ll ever see. I mean it’s over…  Oh my God!
Monica,It’s nice.
Emily,Oh. Oh.
Emily,Oh. Oh my God. How can this be happening? What are we going to do?
Ross,It’s all right! Everything’s gonna be all right.
Emily,How’s it gonna be all right?!
Ross,"Uh-huh, I see that."
Monica,"Okay, I talked to the guy with the shovel and I found out what happened."
Ross,What? What?
Monica,They torn it down a few days early.
Joey,"All right! Westminster Abbey! Hands down, best Abbey I’ve ever seen. Hey!  Okay. What do you think of the Abbey, Chandler?"
Chandler,"I think it’s great. It’s great. Y’know, they’re thinking of changing the name of this place."
Joey,Really? To what?
Chandler,To Put the Camera Away!!!
Joey,"Man, you are Westminster Crabby."
Phoebe,Oh. Oh.
Rachel,"Oh, honey! Don’t get up! What do you need?"
Phoebe,"Oh, no. Oh, nothing."
Rachel,Come on! I am here to take care of you! What do you need? Anything.
Phoebe,"Okay, I have a wedgie."
Rachel,"Okay, that is all you."
Phoebe,"So-so, what do you want for lunch?"
Rachel,"Oh, I don’t know. I guess we have to eat."
Phoebe,"Yeah, I do. What’s the matter?"
Rachel,I’m just bummed about the way I left things with Ross. I shouldn’t have lied to him about having to work. He seemed so mad at me.
Phoebe,"Eh, don’t be so hard on yourself. If someone I was still in love with was getting married…"
Rachel,Still in love with?!
Phoebe,Yeah!
Rachel,I’m not in love with Ross!
Phoebe,"Oh. No. No. Good! Yeah, me neither."
